Play,Player,Tackle,TFL,Pressure,Sack,Int,LOC,FF,FR,TD
8,40,H,,,,,,,,
8,3,H,,,,,,,,
10,20,H,,,,,,,,
10,46,H,,,,,,,,
11,18,Y,,,,,,,,
12,46,,,,,,1.0,,,
12,40,Y,,,,,,,,
13,46,Y,,,,,,,,
14,56,Y,,,,,,,,
16,56,,,1.0,,,,,,
17,22,Y,,,,,,,,
18,56,,,1.0,,,,,,
18,44,Y,,,,,,,,
19,22,M,,,,,,,,
19,40,M,,,,,,,,
19,56,Y,,,,,,,,
20,59,Y,1.0,,1.0,,,,,
21,22,,,,,,1.0,,,
21,20,Y,,,,,,,,
24,46,Y,,,,,,,,
31,40,M,,,,,,,,
31,28,Y,,,,,,,,
32,43,,,,,,1.0,,,
32,40,Y,,,,,,,,
33,20,M,,,,,,,,
33,40,Y,,,,,,,,
34,54,H,,,,,,,,
34,43,M,,,,,,,,
34,18,H,,,,,,,,
35,43,,,1.0,,,,,,
36,43,,,1.0,,,,,,
46,16,H,,,,,,,,
46,47,H,,,,,,,,
46,3,H,,,,,,,,
48,43,,,1.0,,,,,,
55,56,H,,,,,,,,
55,20,H,,,,,,,,
56,47,Y,,,,,,,,
57,56,M,,,,,,,,
57,3,H,,,,,,,,
57,22,H,,,,,,,,
58,47,,,,,,,1.0,,
58,16,,,,,,,,1.0,
62,22,H,,,,,,,,
62,8,H,,,,,,,,
63,70,H,,,,,,,,
63,22,H,,,,,,,,
63,46,H,,,,,,,,
63,46,M,,,,,,,,
64,56,Y,,,,,,,,
65,56,,,1.0,,,,,,
71,54,Y,,,,,,,,
71,46,M,,,,,,,,
72,54,H,,,,,,,,
72,20,H,,,,,,,,
72,56,,,1.0,,,,,,
73,22,,,,,,,,,
73,40,Y,,,,,,,,
74,20,,,,,1.0,,,,
80,54,Y,,,,,,,,
81,46,H,,,,,,,,
81,40,H,,,,,,,,
82,3,Y,,,,,,,,
83,56,Y,1.0,,,,,,,
84,56,Y,1.0,,,,,,,
85,46,,,1.0,,,,,,
85,3,Y,,,,,,,,
86,54,Y,,,,,,,,
88,54,Y,,,,,,,,
95,40,Y,,,,,,,,
95,44,,,,,,1.0,,,
96,45,,,1.0,,,,,,
96,47,,,1.0,,,,,,
97,46,,,,,,,,,
98,16,Y,1.0,,,,,,,
105,59,M,,,,,,,,
105,3,M,,,,,,,,
105,22,M,,,,,,,,
105,40,H,,,,,,,,
105,20,H,,,,,,,,
106,46,M,,,,,,,,
106,20,H,,,,,,,,
106,59,H,,,,,,,,
107,45,,,1.0,,,,,,
108,43,Y,1.0,,,,,,,
108,93,M,,,,,,,,
109,59,,,1.0,,,,,,
109,59,,,,,,1.0,,,
109,54,,,1.0,,,,,,
109,16,,,1.0,,,,,,
120,8,Y,,,,,,,,
121,54,,,1.0,,,,,,
122,54,M,,,,,,,,
122,3,H,,,,,,,,
122,56,H,,,,,,,,
123,22,H,0.5,,,,,,,
123,54,H,0.5,,,,,,,
125,56,,,1.0,,,,,,
130,59,,,1.0,,,,,,
132,36,,,1.0,,,,,,
132,47,,,1.0,,,,,,
133,44,,,1.0,,,,,,
134,56,,,1.0,,,,,,
134,36,,,1.0,,,,,,
135,47,H,,,,,,,,
135,16,H,,,,,,,,
