Play,Player,Completion,Yards,Pressure,Target,TD,Int,Sack,QBFum,FumRec,RecFum,FumYards
4,9,N,,N,84.0,,,,,,,
6,9,N,,Y,4.0,,,,,,,
29,9,N,,Y,4.0,,,,,,,
41,9,N,,Y,8.0,,,,,,,
42,9,N,,N,8.0,,,,,,,
44,9,N,,Y,84.0,,,,,,,
45,9,N,,Y,84.0,,1.0,,,,,
51,9,N,,Y,,,,,,,,
52,9,N,,N,12.0,,,,,,,
53,9,N,,N,8.0,,,,,,,
60,12,N,,Y,84.0,,,,,,,
61,12,Y,20.0,N,8.0,,,,,,,
68,12,N,,Y,85.0,,,,,,,
76,12,N,,N,89.0,,,,,,,
77,12,Y,17.0,Y,8.0,,,,,,,
78,12,Y,60.0,Y,4.0,1,,,,,,
92,12,N,,Y,89.0,,,,,,,
93,12,N,,N,8.0,,,,,,,
100,12,N,,N,84.0,,,,,,,
102,12,N,,N,8.0,,,,,,,
103,12,N,,Y,85.0,,,,,,,
115,12,Y,,N,89.0,,,,,,,
