Play,Player,Completion,Yards,Pressure,Target,TD,Int,Sack,QBFum,FumRec,RecFum,FumYards
4,10,N,,N,11.0,,,,,,,
13,10,Y,3,N,11.0,,,,,,,
24,10,S,,Y,,,,1.0,,,,
25,10,Y,8,N,11.0,,,,,,,
26,10,N,,Y,11.0,,1.0,,,,,
36,12,N,,Y,8.0,,,,,,,
48,12,N,,Y,,,1.0,,,,,
55,12,N,,Y,86.0,,,,,,,
64,12,Y,5,N,8.0,,,,,,,
66,12,N,,Y,8.0,,,,,,,
68,12,N,,Y,11.0,,,,,,,
69,12,S,,Y,,,,1.0,1.0,,,
87,10,N,,Y,11.0,,,,,,,
88,10,Y,8,Y,11.0,,,,,,,
89,10,Y,9,Y,11.0,,,,,,,
90,10,Y,4,N,27.0,,,,,,,
92,10,N,,Y,11.0,,,,,,,
108,10,N,,Y,11.0,,,,,,,
111,10,N,,Y,94.0,,,,,,,
113,10,N,,Y,19.0,,,,,,,
121,10,Y,,Y,11.0,,,,,,,
122,10,N,,Y,8.0,,1.0,,,,,
127,10,N,,Y,84.0,,,,,,,
