Play,Player,Tackle,TFL,Pressure,Sack,Int,LOC,FF,FR,TD
5,51,M,,,,,,,,
5,92,,,1.0,,,,,,
5,32,M,,,,,,,,
5,16,Y,,,,,,,,
6,46,,,,,,1.0,,,
6,28,M,,,,,,,,
6,37,M,,,,,,,,
6,16,Y,,,,,,,,
7,40,Y,,,,,,,,
14,54,Y,,,,,,,,
15,51,,,1.0,,,,,,
15,90,,,1.0,,,,,,
15,90,M,,,,,,,,
15,46,Y,,,,,,,,
16,16,,,1.0,,,,,,
22,11,Y,,,,,,,,
22,11,Y,,,,,,,,
23,46,,,,,,1.0,,,
23,54,Y,,,,,,,,
25,54,M,,,,,,,,
25,46,,,,,,1.0,,,
25,5,Y,,,,,,,,
26,32,H,,,,,,,,
26,46,H,,,,,,,,
26,51,,,1.0,,,,,,
27,51,,,1.0,,,,,,
27,91,,,,,,,,,
27,54,M,,,,,,,,
27,46,Y,,,,,,,,
28,32,Y,,,,,,,,
27,25,M,,,,,,,,
31,5,,,1.0,,,,,,
31,46,Y,,,,,,,,
32,47,Y,,,,,,,,
33,37,Y,,,,,,,,
34,47,,,1.0,,,,,,
39,90,,,1.0,,,,,,
39,54,,,1.0,,,,,,
40,32,Y,,,,,,,,
41,51,,,1.0,,,,,,
42,5,M,,,,,,,,
42,90,M,,,,,,,,
42,54,M,,,,,,,,
42,28,H,,,,,,,,
42,32,H,,,,,,,,
53,47,M,,,,,,,,
53,37,M,,,,,,,,
53,32,Y,,,,,,,,
54,93,,,1.0,,,,,,
54,40,Y,,,,,,,,
55,93,,,1.0,,,,,,
56,91,,,1.0,,,,,,
56,25,Y,1.0,,,,,,,
58,93,M,,,,,,,,
58,37,Y,,,,,,,,
67,14,M,,,,,,,,
67,99,M,,,,,,,,
67,38,Y,,,,,,,,
68,5,,,1.0,,,,,,
68,16,Y,,,,,,,,
69,51,,,1.0,,,,,,
69,46,,,1.0,,,,,,
69,5,,,1.0,,,,,,
69,54,H,,,,,,,,
69,35,H,,,,,,,,
79,93,M,,,,,,,,
79,27,M,,,,,,,,
79,38,Y,,,,,,,,
81,51,Y,,,,,,,,
82,54,Y,,,,,,,,
82,35,M,,,,,,,,
82,51,M,,,,,,,,
82,16,,,1.0,,,,,,
83,46,,,,,,1.0,,,
83,32,Y,,,,,,,,
84,93,,,1.0,,,,,,
87,35,M,,,,,,,,
87,25,Y,,,,,,,,
88,25,H,0.5,,,,,,,
88,5,H,0.5,,,,,,,
99,93,H,,,,,,,,
101,90,Y,,,,,,,,
102,90,M,,,,,,,,
102,32,M,,,,,,,,
102,25,H,,,,,,,,
102,46,H,,,,,,,,
103,5,M,,,,,,,,
103,46,Y,,,,,,,,
104,51,H,,,,,,,,
104,92,H,,,,,,,,
105,93,,,1.0,,,,,,
105,5,,,1.0,,,,,,
105,97,,,1.0,,,,,,
115,38,Y,,,,,,,,
115,34,M,,,,,,,,
116,16,,,1.0,,,,,,
116,46,,,1.0,,,,,,
116,5,,,1.0,,,,,,
117,32,Y,,,,,,,,
119,28,,,,,,,,,
119,53,M,,,,,,,,
119,16,H,,,,,,,,
119,40,H,,,,,,,,
120,47,,,1.0,,,,,,
120,47,M,,,,,,,,
120,90,M,,,,,,,,
122,42,,,,,,1.0,,,
122,47,Y,,,,,,,,
122,28,M,,,,,,,,
122,48,,,,,,1.0,,,
122,5,M,,,,,,,,
122,40,Y,,,,,,,,
124,40,Y,,,,,,,,
124,53,,,,,,1.0,,,
125,28,M,,,,,,,,
125,53,M,,,,,,,,
125,40,M,,,,,,,,
133,16,,,1.0,,,,,,
134,53,,,1.0,,,,,,
