Play,Player,Completion,Yards,Pressure,Target,TD,Int,Sack,QBFum,FumRec,RecFum,FumYards
2,10,N,,N,11.0,,,,,,,
4,10,N,,Y,11.0,,1.0,,,,,
11,10,N,,N,11.0,,,,,,,
12,10,N,,Y,,,,,,,,
22,10,N,,Y,86.0,,1.0,,,,,
35,10,N,,N,85.0,,,,,,,
36,10,N,,Y,,,,,,,,
37,10,S,,Y,,,,1.0,,,,
50,10,N,,Y,84.0,,,,,,,
61,10,Y,8.0,Y,94.0,,,,,,,
64,10,S,,Y,,,,1.0,,,,
74,10,N,,N,84.0,,,,,,,
75,10,Y,11.0,Y,94.0,,,,,,,
92,10,Y,9.0,N,84.0,,,,,,,
93,10,N,,Y,84.0,,,,,,,
95,10,N,,Y,84.0,,,,,,,
96,10,N,,N,94.0,,,,,,,
97,10,Y,,N,85.0,,,,,,,
108,10,N,,Y,86.0,,,,,,,
110,10,Y,6.0,N,94.0,,,,,,,
112,10,N,,Y,94.0,,,,,,,
113,10,N,,Y,84.0,,,,,,,
114,10,N,,Y,94.0,,,,,,,
130,15,Y,5.0,Y,39.0,,,,,,,
131,15,S,,Y,,,,1.0,,,,
