Play,Player,Tackle,TFL,Pressure,Sack,Int,LOC,FF,FR,TD
14,57,,,1.0,,,,,,
14,56,,,1.0,,,,,,
15,32,Y,,,,,,,,
16,93,H,,,,,,,,
16,56,H,,,,,,,,
19,18,M,,,,,,,,
29,93,H,,,,,,,,
29,32,H,,,,,,,,
30,56,Y,,,,,,,,
31,68,,,1.0,,,,,,
32,46,Y,,,,,,,,
33,93,Y,,,,,,,,
34,25,M,,,,,,,,
34,18,M,,,,,,,,
35,56,M,,,,,,,,
36,93,,,1.0,,,,,,
39,53,,,1.0,,,,,,
40,25,M,,,,,,,,
40,40,Y,,,,,,,,
41,20,Y,,,,,,,,
42,55,M,,,,,,,,
59,84,M,,,,,,,,
59,32,M,,,,,,,,
59,25,Y,,,,,,,,
60,46,,,,,1.0,,,,
60,32,M,,,,,,,,
60,46,M,,,,,,,,
60,56,M,,,,,,,,
60,57,M,,,,,,,,
60,40,Y,,,,,,,,
61,32,Y,,,,,,,,
62,47,M,,,,,,,,
62,43,M,,,,,,,,
62,57,Y,,,,,,,,
63,53,M,,,,,,,,
63,53,,,1.0,,,,,,
64,8,Y,,,,,,,,
65,32,Y,,,,,,,,
66,56,M,,,,,,,,
66,56,,,1.0,,,,,,
66,32,,,,,,1.0,,,
66,57,M,,,,,,,,
66,57,H,,,,,,,,
66,56,H,,,,,,,,
66,43,H,,,,,,,,
66,94,M,,,,,,,,
67,94,M,,,,,,,,
67,25,M,,,,,,,,
67,25,H,,,,,,,,
67,56,H,,,,,,,,
68,55,,,1.0,,,,,,
77,32,H,,,,,,,,
77,46,H,,,,,,,,
78,55,H,0.5,,,,,,,
78,56,H,0.5,,,,,,,
78,57,H,0.5,,,,,,,
79,93,Y,1.0,,,,,,,
80,20,M,,,,,,,,
80,32,Y,,,,,,,,
89,53,,,1.0,,,,,,
91,53,,,1.0,,,,,,
91,46,,,1.0,,,,,,
91,20,Y,,,,,,,,
92,55,,,,,,,,,
93,25,,,,,,,,,
93,93,,,,,,,,,
94,56,H,,,,,,,,
94,32,H,,,,,,,,
96,46,,,1.0,,,,,,
