Play,Player,Tackle,TFL,Pressure,Sack,Int,LOC,FF,FR,TD
9,51,,,1.0,,,,,,
9,40,Y,,,,,,,,
10,54,Y,,,,,,,,
11,37,Y,,,,,,,,
11,32,M,,,,,,,,
13,40,Y,,,,,,,,
14,37,M,,,,,,,,
14,16,Y,,,,,,,,
16,94,H,,,,,,,,
16,52,H,,,,,,,,
17,94,Y,,,,,,,,
18,46,,,1.0,,,,,,
18,40,M,,,,,,,,
18,51,H,,,,,,,,
18,94,H,,,,,,,,
19,5,,,1.0,,,,,,
19,46,,,1.0,,,,,,
35,93,Y,1.0,,,,,,,
36,46,,,,,,,,,
37,94,M,,,,,,,,
37,28,Y,1.0,,,,,,,
40,16,Y,,,,,,,,
41,57,,,1.0,,,,,,
42,5,Y,,,,,,,,
43,90,Y,,,,,,,,
44,57,H,,,,,,,,
44,90,H,,,,,,,,
55,27,H,,,,,,,,
55,93,H,,,,,,,,
56,52,Y,,,,,,,,
57,90,H,,,,,,,,
57,16,H,,,,,,,,
58,52,Y,1.0,,,,,,,
59,5,,,1.0,,,,,,
59,32,Y,,,,,,,,
60,51,M,,,,,,,,
60,25,Y,1.0,,,,,,,
63,20,Y,,,,,,,,
64,92,M,,,,,,,,
64,35,M,,,,,,,,
64,24,H,,,,,,,,
64,57,H,,,,,,,,
64,38,H,,,,,,,,
65,16,H,,,,,,,,
65,57,H,,,,,,,,
65,42,M,,,,,,,,
66,90,H,,,,,,,,
66,16,H,,,,,,,,
66,57,H,,,,,,,,
67,16,H,,,,,,,,
67,57,H,,,,,,,,
68,57,H,0.5,1.0,0.5,,,,,
68,5,H,0.5,1.0,0.5,,,,,
69,16,Y,,,,,,,,
70,57,M,,,,,,,,
70,29,Y,,,,,,,,
71,51,Y,,,,,,,,
72,28,M,,,,,,,,
72,46,Y,,,,,,,,
73,90,Y,1.0,,,,,,,
89,57,Y,,,,,,,,
89,30,M,,,,,,,,
89,25,M,,,,,,,,
90,53,Y,,,,,,,,
91,90,,,1.0,,,,,,
93,32,Y,,,,,,,,
98,24,,,,,Y,,,,
