Play,Player,Completion,Yards,Pressure,Target,TD,Int,Sack,QBFum,FumRec,RecFum,FumYards
6,10,N,,Y,8.0,,,,,,,
7,10,N,,Y,11.0,,,,,,,
20,10,N,,Y,8.0,,,,,,,
21,10,N,,N,8.0,,,,,,,
22,10,N,,N,49.0,,,,,,,
23,10,Y,12.0,Y,85.0,,,,,,,
26,10,Y,14.0,N,8.0,,,,,,,
29,10,N,,Y,49.0,,,,,,,
30,10,Y,22.0,N,8.0,,,,,,,
32,10,N,,N,49.0,,,,,,,
33,10,N,,Y,8.0,,,,,,,
45,10,S,,Y,,,,Y,,,,
53,12,N,,N,8.0,,,,,,,
61,12,Y,42.0,N,8.0,Y,,,,,,
76,12,Y,14.0,N,49.0,,,,,,,
80,12,Y,18.0,Y,49.0,,,,,,,
86,12,N,,N,85.0,,,,,,,
97,12,N,,Y,49.0,,,,,,,
