Play,Player,Tackle,TFL,Pressure,Sack,Int,LOC,FF,FR,TD
7,32,M,,,,,,,,
7,93,H,,,,,,,,
7,40,H,,,,,,,,
8,20,Y,,,,,,,,
9,5,Y,,,,,,,,
19,8,H,,,,,,,,
19,32,H,,,,,,,,
20,93,Y,1.0,,,,,,,
21,56,Y,,,,,,,,
22,61,,,1.0,,,,,,
22,56,,,1.0,,,,,,
30,93,Y,,,,,,,,
30,40,M,,,,,,,,
32,25,Y,,,,,,,,
32,56,M,,,,,,,,
42,38,Y,,,,,,,,
43,46,Y,,,,,,,,
44,73,M,,,,,,,,
44,25,Y,,,,,,,,
54,51,Y,,,,,,,,
55,32,Y,,,,,,,,
55,47,M,,,,,,,,
56,40,Y,,,,,,,,
56,32,M,,,,,,,,
57,51,,,,,,1.0,,,
57,32,Y,,,,,,,,
58,40,H,,,,,,,,
58,51,H,,,,,,,,
59,73,,,1.0,,,,,,
60,40,M,,,,,,,,
60,56,H,,,,,,,,
60,32,H,,,,,,,,
60,24,H,,,,,,,,
61,40,Y,,,,,,,,
62,25,Y,,,,,,,,
63,46,H,0.5,,,,,,,
63,73,H,0.5,,,,,,,
64,56,M,,,,,,,,
64,73,H,,,,,,,,
64,93,H,,,,,,,,
64,32,H,,,,,,,,
65,25,,,,,1.0,,,,
65,46,,,1.0,,,,,,
69,51,H,,,,,,,,
69,8,H,,,,,,,,
71,55,,,1.0,,,,,,
71,55,,,1.0,,,,,,
73,43,Y,1.0,,,,,1.0,,
73,20,,,,,,,,1.0,1.0
75,25,Y,,,,,,,,
76,52,Y,1.0,,,,,1.0,,
76,54,,,,,,,,1.0,
80,25,Y,,,,,,,,
80,51,M,,,,,,,,
81,52,H,,,,,,,,
81,16,H,,,,,,,,
81,56,H,,,,,,,,
82,52,M,,,,,,,,
82,16,H,,,,,,,,
82,29,H,,,,,,,,
83,51,,,,,,1.0,,,
83,38,Y,,,,,,,,
84,47,H,,,,,,,,
84,51,H,,,,,,,,
84,52,M,,,,,,,,
90,25,Y,,,,,,,,
91,93,Y,1.0,,,,,,,
92,53,,,,,,1.0,,,
92,32,Y,,,,,,,,
92,32,Y,,,,,,,,
94,56,Y,,,,,,,,
95,73,M,,,,,,,,
95,56,Y,1.0,,,,,,,
