Play,Player,Completion,Yards,Pressure,Target,TD,Int,Sack,QBFum,FumRec,RecFum,FumYards
4,12,N,,Y,8.0,,,,,,,
5,12,N,,Y,8.0,,,,,,,
14,12,S,-6.0,Y,,,,1.0,,,,
16,12,Y,24.0,N,19.0,,,,,,,
24,12,N,,N,8.0,,,,,,,
25,12,Y,13.0,N,84.0,,,,,,,
26,12,N,,N,89.0,,,,,,,
35,12,N,,N,8.0,,,,,,,
36,12,Y,8.0,N,89.0,,,,,,,
39,12,N,,Y,86.0,,,,,,,
40,12,Y,15.0,Y,90.0,1.0,,,,,,
49,12,Y,8.0,Y,19.0,,,,,,,
51,12,N,,Y,84.0,,,,,,,
52,12,N,,N,8.0,,,,,,,
67,12,Y,15.0,N,8.0,1.0,,,,,,
87,10,N,,N,,,,,,,,
98,10,N,,Y,,,,,,,,
100,10,Y,14.0,Y,86.0,,,,,,,
