Play,Player,Tackle,TFL,Pressure,Sack,Int,LOC,FF,FR,TD
1,45,M,,,,,,,,
1,32,M,,,,,,,,
1,29,M,,,,,,,,
1,25,H,,,,,,,,
1,39,H,,,,,,,,
2,43,,,,,,1.0,,,
2,25,M,,,,,,,,
2,40,Y,,,,,,,,
9,18,H,,,,,,,,
9,25,H,,,,,,,,
9,51,M,,,,,,,,
16,32,M,,,,,,,,
16,32,M,,,,,,,,
16,90,M,,,,,,,,
16,38,H,,,,,,,,
16,24,H,,,,,,,,
17,47,M,,,,,,,,
18,40,M,,,,,,,,
18,32,M,,,,,,,,
18,46,Y,,,,,,,,
19,47,,,,,,1.0,,,
19,35,Y,,,,,,,,
20,5,,,1.0,,,,,,
20,46,,,1.0,,,,,,
20,40,,,,,1.0,,,,
26,8,Y,,,,,,,,
27,56,,,,,,1.0,,,
27,32,M,,,,,,,,
27,25,M,,,,,,,,
27,47,M,,,,,,,,
27,25,M,,,,,,,,
28,46,,,1.0,,,,,,
28,56,,,1.0,,,,,,
28,47,,,1.0,,,,,,
29,47,,,,,1.0,,,,
37,48,M,,,,,,,,
37,90,M,,,,,,,,
37,43,M,,,,,,,,
37,46,Y,,,,,,,,
38,48,M,,,,,,,,
41,32,H,,,,,,,,
41,40,H,,,,,,,,
42,35,M,,,,,,,,
51,48,Y,,,,,,,,
51,46,M,,,,,,,,
52,57,Y,,,,,,,,
53,48,,,1.0,,,,,,
53,57,,,1.0,,,,,,
54,20,Y,,,,,,,,
55,56,,,,,,1.0,,,
62,48,,,1.0,,,,,,
62,20,Y,1.0,1.0,1.0,,,,,
69,82,H,,,,,,,,
69,40,H,,,,,,,,
72,40,H,,,,,,,,
72,51,H,,,,,,,,
73,51,Y,,,,,,,,
82,38,Y,,,,,,,,
83,51,Y,,,,,,,,
91,56,M,,,,,,,,
91,40,M,,,,,,,,
91,20,M,,,,,,,,
91,18,M,,,,,,,,
92,56,M,,,,,,,,
96,56,,,1.0,,,,,,
96,20,M,,,,,,,,
96,28,M,,,,,,,,
96,32,Y,,,,,,,,
97,46,Y,,,,,,,,
98,46,,,1.0,,,,,,
99,46,,,,,,1.0,,,
99,18,M,,,,,,,,
100,56,,,1.0,,,,,,
105,28,M,,,,,,,,
105,32,Y,,,,,,,,
108,32,M,,,,,,,,
108,28,M,,,,,,,,
108,57,H,,,,,,,,
108,25,H,,,,,,,,
109,32,M,,,,,,,,
109,29,M,,,,,,,,
110,56,M,,,,,,,,
113,32,M,,,,,,,,
114,57,M,,,,,,,,
121,24,M,,,,,,,,
121,30,M,,,,,,,,
121,35,Y,,,,,,,,
