Play,Player,Completion,Yards,Pressure,Target,TD,Int,Sack,QBFum,RecFum,FumYards,FumRec
8,10,N,,Y,19.0,,,,,,,
13,10,N,,N,39.0,,,,,,,
15,10,N,,Y,,,,,,,,
23,10,Y,24.0,Y,8.0,1.0,,,,,,
34,10,Y,1.0,Y,8.0,,,,,,,
46,10,N,,Y,,,,,,,,
49,10,Y,4.0,Y,19.0,,,,,,,
57,10,Y,1.0,Y,84.0,,,,,,,
64,10,N,-4.0,Y,,,,1.0,,,,
75,10,Y,2.0,N,39.0,,,,,,,
76,10,N,,N,,,,,,,,
77,10,N,,N,84.0,,,,,,,
79,10,N,,Y,39.0,,,,,,,
80,10,N,,Y,8.0,,,,,,,
81,10,N,,Y,8.0,,,,,,,
89,10,Y,1.0,Y,45.0,,,,,,,
95,10,Y,3.0,Y,8.0,,,,,1.0,1.0,
118,10,N,,Y,8.0,,,,,,,
