Play,Player,Tackle,TFL,Pressure,Sack,Int,LOC,FF,FR,TD
4,46,M,,,,,,,,
4,32,M,,,,,,,,
4,40,Y,,,,,,,,
5,46,,,,,,1.0,,,
5,20,,,,,,1.0,,,
5,20,M,,,,,,,,
11,14,M,,,,,,,,
11,20,M,,,,,,,,
11,45,M,,,,,,,,
12,46,M,,,,,,,,
18,90,,,,,,1.0,,,
18,35,,,,,,1.0,,,
18,35,M,,,,,,,,
18,47,M,,,,,,,,
18,25,Y,,,,,,,,
19,52,,,1.0,,,,,,
19,35,,,,,,1.0,,,
21,93,,,1.0,,,,,,
22,93,,,1.0,,,,,,
22,90,,,,,,,,,
22,53,,,,,,1.0,,,
22,53,,,1.0,,,,,,
29,20,Y,,,,,,,,
30,52,,,,,,1.0,,,
36,32,Y,,,,,,,,
43,40,M,,,,,,,,
44,54,,,,,,1.0,,,
60,57,M,,,,,,,,
60,43,M,,,,,,,,
60,25,Y,,,,,,,,
61,40,M,,,,,,,,
61,43,M,,,,,,,,
69,40,Y,,,,,,,,
70,93,Y,,,,,,,,
71,20,M,,,,,,,,
71,25,M,,,,,,,,
71,47,M,,,,,,,,
72,93,M,,,,,,,,
72,20,Y,,,,,,,,
